Order Date,Order ID,Product Name,Category,City,Country,Customer Name,Discount,Postal Code,Manufacturer,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
6/9/2015,CA-2015-115812,Chromcraft Rectangular Conference Tables,Furniture,Los Angeles,United States,Brosina Hoffman,20.00%,90032,Chromcraft,$85.00,5.00%,9.00,West,"$1,706.00",Consumer,6/14/2015,Standard Class,California,Tables
6/9/2015,CA-2015-115812,Konftel 250 Conference phone - Charcoal black,Technology,Los Angeles,United States,Brosina Hoffman,20.00%,90032,Other,$68.00,8.00%,4.00,West,$911.00,Consumer,6/14/2015,Standard Class,California,Phones
4/15/2018,CA-2018-114412,Xerox 1967,Office Supplies,Concord,United States,Andrew Allen,20.00%,28027,Xerox,$5.00,35.00%,3.00,South,$16.00,Consumer,4/20/2018,Standard Class,North Carolina,Paper
12/5/2017,CA-2017-161389,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Seattle,United States,Irene Maddox,20.00%,98103,Fellowes,$133.00,33.00%,3.00,West,$408.00,Consumer,12/10/2017,Standard Class,Washington,Binders
11/22/2016,US-2016-118983,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,76106,Holmes,-$124.00,-180.00%,5.00,Central,$69.00,Home Office,11/26/2016,Standard Class,Texas,Appliances
11/22/2016,US-2016-118983,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,76106,Storex,-$4.00,-150.00%,3.00,Central,$3.00,Home Office,11/26/2016,Standard Class,Texas,Binders
11/11/2015,CA-2015-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Madison,United States,Pete Kriz,0.00%,53711,Other,$13.00,2.00%,6.00,Central,$666.00,Consumer,11/18/2015,Standard Class,Wisconsin,Storage
5/13/2015,CA-2015-167164,Fellowes Super Stor/Drawer,Office Supplies,West Jordan,United States,Alejandro Grove,0.00%,84084,Fellowes,$10.00,18.00%,2.00,West,$56.00,Consumer,5/15/2015,Second Class,Utah,Storage
8/27/2015,CA-2015-143336,Newell 341,Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.00%,94109,Newell,$2.00,29.00%,2.00,West,$9.00,Consumer,9/1/2015,Second Class,California,Art
8/27/2015,CA-2015-143336,Cisco SPA 501G IP Phone,Technology,San Francisco,United States,Zuschuss Donatelli,20.00%,94109,Cisco,$16.00,7.00%,3.00,West,$213.00,Consumer,9/1/2015,Second Class,California,Phones
8/27/2015,CA-2015-143336,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,San Francisco,United States,Zuschuss Donatelli,20.00%,94109,Wilson Jones,$7.00,33.00%,4.00,West,$23.00,Consumer,9/1/2015,Second Class,California,Binders
12/9/2017,CA-2017-137330,Newell 318,Office Supplies,Fremont,United States,Ken Black,0.00%,68025,Newell,$5.00,26.00%,7.00,Central,$19.00,Corporate,12/13/2017,Standard Class,Nebraska,Art
12/9/2017,CA-2017-137330,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Fremont,United States,Ken Black,0.00%,68025,Acco,$16.00,26.00%,7.00,Central,$60.00,Corporate,12/13/2017,Standard Class,Nebraska,Appliances
7/16/2018,US-2018-156909,"Global Deluxe Stacking Chair, Gray",Furniture,Philadelphia,United States,Sandra Flanagan,30.00%,19140,Global,-$1.00,-1.00%,2.00,East,$71.00,Consumer,7/18/2018,Second Class,Pennsylvania,Chairs
9/25/2016,CA-2016-106320,Bretford CR4500 Series Slim Rectangular Table,Furniture,Orem,United States,Emily Burns,0.00%,84057,Bretford,$240.00,23.00%,3.00,West,"$1,045.00",Consumer,9/30/2016,Standard Class,Utah,Tables
1/16/2017,CA-2017-121755,Wilson Jones Active Use Binders,Office Supplies,Los Angeles,United States,Eric Hoffmann,20.00%,90049,Wilson Jones,$4.00,36.00%,2.00,West,$12.00,Consumer,1/20/2017,Second Class,California,Binders
1/16/2017,CA-2017-121755,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Los Angeles,United States,Eric Hoffmann,0.00%,90049,Other,$12.00,13.00%,3.00,West,$91.00,Consumer,1/20/2017,Second Class,California,Accessories
9/17/2016,US-2016-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Philadelphia,United States,Tracy Blumstein,50.00%,19140,Riverside,"-$1,665.00",-54.00%,7.00,East,"$3,083.00",Consumer,9/21/2016,Standard Class,Pennsylvania,Bookcases
9/17/2016,US-2016-150630,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,19140,Avery,-$7.00,-73.00%,2.00,East,$10.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Binders
9/17/2016,US-2016-150630,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Philadelphia,United States,Tracy Blumstein,20.00%,19140,Howard Miller,$16.00,13.00%,3.00,East,$124.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Furnishings
9/17/2016,US-2016-150630,Poly String Tie Envelopes,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,19140,Poly,$1.00,34.00%,2.00,East,$3.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Envelopes
9/17/2016,US-2016-150630,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,19140,Boston,$10.00,11.00%,6.00,East,$86.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Art
9/17/2016,US-2016-150630,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,19140,Acco,-$6.00,-83.00%,6.00,East,$7.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Binders
9/17/2016,US-2016-150630,Lumber Crayons,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,19140,Other,$4.00,23.00%,2.00,East,$16.00,Consumer,9/21/2016,Standard Class,Pennsylvania,Art
10/19/2018,CA-2018-107727,Easy-staple paper,Office Supplies,Houston,United States,Matt Abelman,20.00%,77095,Easy-staple paper,$10.00,34.00%,3.00,Central,$29.00,Home Office,10/23/2018,Second Class,Texas,Paper
12/8/2017,CA-2017-117590,GE 30524EE4,Technology,Richardson,United States,Gene Hale,20.00%,75080,GE,$123.00,11.00%,7.00,Central,"$1,098.00",Corporate,12/10/2017,First Class,Texas,Phones
12/8/2017,CA-2017-117590,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Richardson,United States,Gene Hale,60.00%,75080,Electrix,-$148.00,-78.00%,5.00,Central,$191.00,Corporate,12/10/2017,First Class,Texas,Furnishings
12/27/2016,CA-2016-117415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Houston,United States,Steve Nguyen,20.00%,77041,Other,$35.00,31.00%,9.00,Central,$113.00,Home Office,12/31/2016,Standard Class,Texas,Envelopes
12/27/2016,CA-2016-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Houston,United States,Steve Nguyen,32.00%,77041,Atlantic,-$47.00,-9.00%,3.00,Central,$532.00,Home Office,12/31/2016,Standard Class,Texas,Bookcases
12/27/2016,CA-2016-117415,"Global Fabric Manager's Chair, Dark Gray",Furniture,Houston,United States,Steve Nguyen,30.00%,77041,Global,-$15.00,-7.00%,3.00,Central,$212.00,Home Office,12/31/2016,Standard Class,Texas,Chairs
12/27/2016,CA-2016-117415,Plantronics HL10 Handset Lifter,Technology,Houston,United States,Steve Nguyen,20.00%,77041,Plantronics,$42.00,11.00%,4.00,Central,$371.00,Home Office,12/31/2016,Standard Class,Texas,Phones
9/10/2018,CA-2018-120999,Panasonic Kx-TS550,Technology,Naperville,United States,Linda Cazamias,20.00%,60540,Panasonic,$17.00,11.00%,4.00,Central,$147.00,Corporate,9/15/2018,Standard Class,Illinois,Phones
7/17/2017,CA-2017-101343,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Los Angeles,United States,Ruben Ausman,0.00%,90049,Eldon,$4.00,5.00%,2.00,West,$78.00,Corporate,7/22/2017,Standard Class,California,Storage
9/19/2018,CA-2018-139619,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Melbourne,United States,Erin Smith,20.00%,32935,Advantus,$10.00,10.00%,2.00,South,$96.00,Corporate,9/23/2018,Standard Class,Florida,Storage
3/11/2017,CA-2017-118255,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Eagan,United States,Odella Nelson,0.00%,55122,Verbatim,$20.00,43.00%,2.00,Central,$46.00,Corporate,3/13/2017,First Class,Minnesota,Accessories
3/11/2017,CA-2017-118255,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Eagan,United States,Odella Nelson,0.00%,55122,Wilson Jones,$8.00,47.00%,2.00,Central,$17.00,Corporate,3/13/2017,First Class,Minnesota,Binders
10/20/2015,CA-2015-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Westland,United States,Patrick O'Donnell,0.00%,48185,Gould Plastics,$8.00,4.00%,4.00,Central,$212.00,Consumer,10/25/2015,Second Class,Michigan,Storage
6/20/2017,CA-2017-169194,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Dover,United States,Lena Hernandez,0.00%,19901,Imation,$5.00,11.00%,3.00,East,$45.00,Consumer,6/25/2017,Standard Class,Delaware,Accessories
6/20/2017,CA-2017-169194,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Dover,United States,Lena Hernandez,0.00%,19901,Other,$6.00,28.00%,2.00,East,$22.00,Consumer,6/25/2017,Standard Class,Delaware,Phones
4/18/2016,CA-2016-115742,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,New Albany,United States,Darren Powers,0.00%,47150,C-Line,$18.00,47.00%,6.00,Central,$38.00,Consumer,4/22/2016,Standard Class,Indiana,Binders
4/18/2016,CA-2016-115742,Avery 485,Office Supplies,New Albany,United States,Darren Powers,0.00%,47150,Avery,$35.00,47.00%,6.00,Central,$75.00,Consumer,4/22/2016,Standard Class,Indiana,Labels
4/18/2016,CA-2016-115742,Longer-Life Soft White Bulbs,Furniture,New Albany,United States,Darren Powers,0.00%,47150,Other,$3.00,48.00%,2.00,Central,$6.00,Consumer,4/22/2016,Standard Class,Indiana,Furnishings
4/18/2016,CA-2016-115742,"Global Leather Task Chair, Black",Furniture,New Albany,United States,Darren Powers,0.00%,47150,Global,$17.00,19.00%,1.00,Central,$90.00,Consumer,4/22/2016,Standard Class,Indiana,Chairs
12/11/2017,CA-2017-105816,Advantus Push Pins,Office Supplies,New York City,United States,Janet Molinari,0.00%,10024,Advantus,$6.00,41.00%,7.00,East,$15.00,Corporate,12/17/2017,Standard Class,New York,Fasteners
12/11/2017,CA-2017-105816,AT&T CL83451 4-Handset Telephone,Technology,New York City,United States,Janet Molinari,0.00%,10024,AT&T,$299.00,29.00%,5.00,East,"$1,030.00",Corporate,12/17/2017,Standard Class,New York,Phones
6/17/2017,CA-2017-111682,Home/Office Personal File Carts,Office Supplies,Troy,United States,Ted Butterfield,0.00%,12180,Other,$52.00,25.00%,6.00,East,$209.00,Consumer,6/18/2017,First Class,New York,Storage
6/17/2017,CA-2017-111682,Xerox 232,Office Supplies,Troy,United States,Ted Butterfield,0.00%,12180,Xerox,$16.00,48.00%,5.00,East,$32.00,Consumer,6/18/2017,First Class,New York,Paper
6/17/2017,CA-2017-111682,Novimex Turbo Task Chair,Furniture,Troy,United States,Ted Butterfield,10.00%,12180,Novimex,$7.00,2.00%,5.00,East,$319.00,Consumer,6/18/2017,First Class,New York,Chairs
6/17/2017,CA-2017-111682,"Array Parchment Paper, Assorted Colors",Office Supplies,Troy,United States,Ted Butterfield,0.00%,12180,Array,$7.00,48.00%,2.00,East,$15.00,Consumer,6/18/2017,First Class,New York,Paper
6/17/2017,CA-2017-111682,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Troy,United States,Ted Butterfield,0.00%,12180,Imation,$3.00,11.00%,2.00,East,$30.00,Consumer,6/18/2017,First Class,New York,Accessories
6/17/2017,CA-2017-111682,Plastic Binding Combs,Office Supplies,Troy,United States,Ted Butterfield,20.00%,12180,Other,$16.00,34.00%,4.00,East,$48.00,Consumer,6/18/2017,First Class,New York,Binders
6/17/2017,CA-2017-111682,Prang Dustless Chalk Sticks,Office Supplies,Troy,United States,Ted Butterfield,0.00%,12180,Prang,$1.00,50.00%,1.00,East,$2.00,Consumer,6/18/2017,First Class,New York,Art
11/24/2016,CA-2016-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Los Angeles,United States,Kunst Miller,0.00%,90004,Verbatim,$6.00,44.00%,2.00,West,$14.00,Consumer,11/30/2016,Standard Class,California,Accessories
11/24/2016,CA-2016-135545,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Los Angeles,United States,Kunst Miller,20.00%,90004,Acco,$9.00,36.00%,6.00,West,$26.00,Consumer,11/30/2016,Standard Class,California,Binders
11/24/2016,CA-2016-135545,Xerox 1943,Office Supplies,Los Angeles,United States,Kunst Miller,0.00%,90004,Xerox,$69.00,47.00%,3.00,West,$147.00,Consumer,11/30/2016,Standard Class,California,Paper
11/24/2016,CA-2016-135545,Luxo Economy Swing Arm Lamp,Furniture,Los Angeles,United States,Kunst Miller,0.00%,90004,Luxo,$22.00,28.00%,4.00,West,$80.00,Consumer,11/30/2016,Standard Class,California,Furnishings
4/30/2016,US-2016-164175,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chicago,United States,Paul Stevenson,30.00%,60610,Global,-$15.00,-7.00%,5.00,Central,$213.00,Home Office,5/5/2016,Standard Class,Illinois,Chairs
12/5/2015,CA-2015-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Gilbert,United States,Brendan Sweed,20.00%,85234,Hunt,$111.00,10.00%,8.00,West,"$1,113.00",Corporate,12/10/2015,Standard Class,Arizona,Art
12/5/2015,CA-2015-106376,netTALK DUO VoIP Telephone Service,Technology,Gilbert,United States,Brendan Sweed,20.00%,85234,Other,$63.00,38.00%,4.00,West,$168.00,Corporate,12/10/2015,Standard Class,Arizona,Phones
6/4/2017,CA-2017-119823,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Springfield,United States,Karen Daniels,0.00%,22153,Other,$36.00,47.00%,2.00,South,$76.00,Consumer,6/6/2017,First Class,Virginia,Paper
9/18/2017,CA-2017-106075,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,New York City,United States,Henry MacAllister,20.00%,10009,Avery,$2.00,38.00%,1.00,East,$5.00,Consumer,9/23/2017,Standard Class,New York,Binders
9/14/2018,CA-2018-114440,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Jackson,United States,Tracy Blumstein,0.00%,49201,Other,$9.00,46.00%,3.00,Central,$19.00,Consumer,9/17/2018,Second Class,Michigan,Paper
4/26/2016,US-2016-134026,High-Back Leather Manager's Chair,Furniture,Memphis,United States,Joel Eaton,20.00%,38109,Other,-$114.00,-14.00%,8.00,South,$832.00,Consumer,5/2/2016,Standard Class,Tennessee,Chairs
4/26/2016,US-2016-134026,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Memphis,United States,Joel Eaton,20.00%,38109,Tenex,$1.00,1.00%,2.00,South,$97.00,Consumer,5/2/2016,Standard Class,Tennessee,Furnishings
4/26/2016,US-2016-134026,Safco Industrial Wire Shelving System,Office Supplies,Memphis,United States,Joel Eaton,20.00%,38109,SAFCO,-$18.00,-25.00%,1.00,South,$73.00,Consumer,5/2/2016,Standard Class,Tennessee,Storage
12/9/2018,US-2018-118038,Economy Binders,Office Supplies,Houston,United States,Ken Brennan,80.00%,77041,Other,-$2.00,-155.00%,3.00,Central,$1.00,Corporate,12/11/2018,First Class,Texas,Binders
12/9/2018,US-2018-118038,"6"" Cubicle Wall Clock, Black",Furniture,Houston,United States,Ken Brennan,60.00%,77041,Other,-$6.00,-60.00%,3.00,Central,$10.00,Corporate,12/11/2018,First Class,Texas,Furnishings
12/9/2018,US-2018-118038,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Houston,United States,Ken Brennan,20.00%,77041,Other,$3.00,10.00%,3.00,Central,$27.00,Corporate,12/11/2018,First Class,Texas,Storage
11/26/2015,US-2015-147606,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Houston,United States,Joel Eaton,60.00%,77070,Eldon,-$14.00,-75.00%,5.00,Central,$19.00,Consumer,12/1/2015,Second Class,Texas,Furnishings
6/12/2017,CA-2017-127208,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,35601,Other,$56.00,27.00%,1.00,South,$208.00,Corporate,6/15/2017,First Class,Alabama,Appliances
6/12/2017,CA-2017-127208,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,35601,Avery,$8.00,48.00%,3.00,South,$17.00,Corporate,6/15/2017,First Class,Alabama,Binders
10/12/2015,CA-2015-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,San Francisco,United States,Duane Noonan,0.00%,94122,Other,$4.00,28.00%,5.00,West,$15.00,Consumer,10/16/2015,Standard Class,California,Art
10/12/2015,CA-2015-139451,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,San Francisco,United States,Duane Noonan,0.00%,94122,Other,$6.00,29.00%,1.00,West,$21.00,Consumer,10/16/2015,Standard Class,California,Storage
9/3/2016,CA-2016-149734,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Durham,United States,Julie Creighton,20.00%,27707,Other,$63.00,31.00%,7.00,South,$201.00,Corporate,9/8/2016,Standard Class,North Carolina,Envelopes
11/13/2018,US-2018-119662,Safco Industrial Wire Shelving,Office Supplies,Chicago,United States,Christopher Schild,20.00%,60623,SAFCO,-$49.00,-21.00%,3.00,Central,$230.00,Home Office,11/16/2018,First Class,Illinois,Storage
5/28/2018,CA-2018-140088,Novimex Swivel Fabric Task Chair,Furniture,Columbia,United States,Patrick O'Donnell,0.00%,29203,Novimex,$33.00,11.00%,2.00,South,$302.00,Consumer,5/30/2018,Second Class,South Carolina,Chairs
10/26/2018,CA-2018-155558,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Rochester,United States,Paul Gonzalez,0.00%,55901,Logitech,$7.00,34.00%,1.00,Central,$20.00,Consumer,11/2/2018,Standard Class,Minnesota,Accessories
10/26/2018,CA-2018-155558,Avery 511,Office Supplies,Rochester,United States,Paul Gonzalez,0.00%,55901,Avery,$3.00,48.00%,2.00,Central,$6.00,Consumer,11/2/2018,Standard Class,Minnesota,Labels
4/5/2017,CA-2017-159695,Eldon Portable Mobile Manager,Office Supplies,Houston,United States,Gary Mitchum,20.00%,77095,Eldon,$14.00,9.00%,7.00,Central,$158.00,Home Office,4/10/2017,Second Class,Texas,Storage
9/17/2017,CA-2017-109806,Turquoise Lead Holder with Pocket Clip,Office Supplies,Los Angeles,United States,Jim Sink,0.00%,90036,Other,$7.00,33.00%,3.00,West,$20.00,Corporate,9/22/2017,Standard Class,California,Art
9/17/2017,CA-2017-109806,Panasonic Kx-TS550,Technology,Los Angeles,United States,Jim Sink,20.00%,90036,Panasonic,$8.00,11.00%,2.00,West,$74.00,Corporate,9/22/2017,Standard Class,California,Phones
9/17/2017,CA-2017-109806,Xerox 1995,Office Supplies,Los Angeles,United States,Jim Sink,0.00%,90036,Xerox,$3.00,48.00%,1.00,West,$6.00,Corporate,9/22/2017,Standard Class,California,Paper
1/31/2016,CA-2016-149587,Xerox 1999,Office Supplies,Minneapolis,United States,Karl Braun,0.00%,55407,Xerox,$6.00,48.00%,2.00,Central,$13.00,Consumer,2/5/2016,Second Class,Minnesota,Paper
1/31/2016,CA-2016-149587,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Minneapolis,United States,Karl Braun,0.00%,55407,Seth Thomas,$17.00,31.00%,3.00,Central,$53.00,Consumer,2/5/2016,Second Class,Minnesota,Furnishings
1/31/2016,CA-2016-149587,Ibico Standard Transparent Covers,Office Supplies,Minneapolis,United States,Karl Braun,0.00%,55407,Ibico,$16.00,49.00%,2.00,Central,$33.00,Consumer,2/5/2016,Second Class,Minnesota,Binders
11/6/2018,US-2018-109484,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Portland,United States,Roger Barcio,70.00%,97206,Other,-$4.00,-67.00%,1.00,West,$6.00,Home Office,11/12/2018,Standard Class,Oregon,Binders
11/9/2018,CA-2018-161018,9-3/4 Diameter Round Wall Clock,Furniture,New York City,United States,Parhena Norris,0.00%,10009,Other,$41.00,42.00%,7.00,East,$97.00,Home Office,11/11/2018,Second Class,New York,Furnishings
6/17/2018,CA-2018-157833,Trimflex Flexible Post Binders,Office Supplies,San Francisco,United States,Katherine Ducich,20.00%,94122,Other,$18.00,35.00%,3.00,West,$51.00,Consumer,6/20/2018,First Class,California,Binders
9/6/2017,CA-2017-149223,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Saint Paul,United States,Elpida Rittenbach,0.00%,55106,Fellowes,$23.00,29.00%,6.00,Central,$78.00,Corporate,9/11/2017,Standard Class,Minnesota,Appliances
8/29/2017,CA-2017-158568,Avery Personal Creations Heavyweight Cards,Office Supplies,Chicago,United States,Rick Bensley,20.00%,60610,Avery,$23.00,35.00%,7.00,Central,$65.00,Home Office,9/2/2017,Standard Class,Illinois,Paper
8/29/2017,CA-2017-158568,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Chicago,United States,Rick Bensley,20.00%,60610,SanDisk,-$11.00,-11.00%,3.00,Central,$96.00,Home Office,9/2/2017,Standard Class,Illinois,Accessories
8/29/2017,CA-2017-158568,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Chicago,United States,Rick Bensley,80.00%,60610,Avery,-$3.00,-170.00%,3.00,Central,$2.00,Home Office,9/2/2017,Standard Class,Illinois,Binders
12/1/2017,CA-2017-129903,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Rochester,United States,Gary Zandusky,0.00%,55901,Universal,$12.00,49.00%,4.00,Central,$24.00,Consumer,12/4/2017,Second Class,Minnesota,Paper
11/13/2016,US-2016-156867,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Aurora,United States,Lena Cacioppo,20.00%,80013,Logitech,-$27.00,-11.00%,6.00,West,$239.00,Consumer,11/17/2016,Standard Class,Colorado,Accessories
11/13/2016,US-2016-156867,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Aurora,United States,Lena Cacioppo,20.00%,80013,Deflect-o,-$4.00,-4.00%,3.00,West,$102.00,Consumer,11/17/2016,Standard Class,Colorado,Furnishings
11/13/2016,US-2016-156867,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Aurora,United States,Lena Cacioppo,70.00%,80013,Avery,-$26.00,-70.00%,3.00,West,$37.00,Consumer,11/17/2016,Standard Class,Colorado,Binders
11/23/2018,CA-2018-119004,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Charlotte,United States,Janet Martin,20.00%,28205,Memorex,$18.00,24.00%,8.00,South,$74.00,Consumer,11/28/2018,Standard Class,North Carolina,Accessories
11/23/2018,CA-2018-119004,Speck Products Candyshell Flip Case,Technology,Charlotte,United States,Janet Martin,20.00%,28205,Other,$2.00,8.00%,1.00,South,$28.00,Consumer,11/28/2018,Standard Class,North Carolina,Phones
11/23/2018,CA-2018-119004,Newell Chalk Holder,Office Supplies,Charlotte,United States,Janet Martin,20.00%,28205,Newell,$1.00,33.00%,1.00,South,$3.00,Consumer,11/28/2018,Standard Class,North Carolina,Art
10/15/2016,CA-2016-129476,Logitech Gaming G510s - Keyboard,Technology,Orland Park,United States,Pete Armstrong,20.00%,60462,Logitech,$68.00,20.00%,5.00,Central,$340.00,Home Office,10/20/2016,Standard Class,Illinois,Accessories
12/25/2018,CA-2018-146780,Magnifier Swing Arm Lamp,Furniture,New York City,United States,Cynthia Voltz,0.00%,10035,Other,$11.00,26.00%,2.00,East,$42.00,Corporate,12/30/2018,Standard Class,New York,Furnishings
11/3/2017,CA-2017-128867,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Urbandale,United States,Clay Ludtke,0.00%,50322,Hunt,$23.00,30.00%,2.00,Central,$76.00,Consumer,11/10/2017,Standard Class,Iowa,Art
